group,score,quiz_answer1,quiz_answer2,quiz_answer3,quiz_answer4,quiz_answer5
faq,0.4,4,3,3,3,1
faq,1,2,3,3,4,2
faq,0.4,4,3,3,1,4
faq,0.4,4,3,2,4,1
faq,0.6,2,3,2,4,1
faq,0.4,4,3,1,4,1
faq,0.6,2,3,1,4,1
faq,0.4,1,3,1,4,1
faq,0.8,4,3,3,4,2
faq,0.8,2,3,3,4,4
faq,0.4,2,2,2,4,1
faq,0.4,2,2,4,4,4
faq,0.4,2,2,1,4,4
faq,0.6,2,2,4,4,2
faq,0.8,2,3,3,3,2
faq,0.4,2,2,1,4,1
faq,0.6,2,3,4,3,2
faq,0.2,4,3,1,1,4
faq,0.4,2,2,2,3,2
faq,0.2,4,3,1,1,4
faq,1,2,3,3,4,2
faq,0.4,2,3,4,1,3
faq,0.6,4,3,3,4,1
faq,0.4,4,3,3,3,1
faq,0.6,2,3,2,4,1
faq,0.6,4,3,3,4,1
faq,0.6,4,3,1,4,2
faq,0.2,4,2,1,4,3
faq,0.6,2,3,1,4,3
faq,0.8,2,3,3,4,1
faq,0.2,2,2,1,3,4
faq,0.4,4,2,3,4,4
faq,0,4,2,4,3,3
faq,0.8,4,3,3,4,2
faq,0.6,2,3,1,4,4
faq,0.6,2,3,2,4,4
faq,0.2,1,3,4,1,4
faq,0.4,2,3,4,3,1
faq,0.2,4,2,1,4,4
faq,0.4,3,3,1,4,4
faq,0.2,4,3,1,3,4
faq,0.2,4,2,4,4,1
faq,0.6,2,3,1,4,4
faq,0.4,4,3,1,4,3
faq,0.4,4,2,1,4,2
faq,0.6,2,3,2,4,1
faq,0.6,2,3,1,4,1
faq,0.4,4,2,3,4,3
faq,0.6,3,3,3,4,1
faq,0.6,2,3,4,4,4
faq,0.8,2,3,3,4,4
faq,0.6,2,3,1,4,1
faq,0.6,4,3,4,4,2
faq,0.2,4,2,4,4,1
faq,0.2,4,3,1,3,4
faq,0.2,4,2,4,4,4
faq,0.6,2,3,4,4,3
faq,0.8,2,3,1,4,2
faq,0.6,2,2,1,4,2
faq,0.6,2,3,1,4,4
faq,0.6,4,3,3,4,4
faq,0.6,2,3,3,3,4
faq,0.4,4,3,2,4,3
faq,0,4,2,4,3,4
faq,0.2,4,3,4,1,1
faq,0.6,2,3,2,4,4
faq,0.8,2,3,4,4,2
faq,0.4,4,3,4,4,3
faq,0.4,3,3,4,4,4
faq,0.4,2,2,2,4,4
faq,0.4,4,3,2,4,4
faq,0.4,1,2,3,4,4
faq,0.8,2,3,3,4,4
faq,0.4,4,3,4,4,1
faq,1,2,3,3,4,2
faq,0.4,4,3,1,4,1
faq,0.6,4,3,3,1,2
faq,0.2,4,3,4,3,1
faq,0.4,4,3,1,4,1
faq,0.6,3,2,3,4,2
faq,0.4,4,3,1,4,3